,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,78.0,78.0,78.0,137.0,1.0,146.0,213.0,271.0,174.0,217.0,213.0,148.0,137.0,78.0,217.0,238.0,137.0,137.0,238.0,174.0,174.0,174.0,78.0,137.0,213.0,213.0,1.0,238.0,137.0,213.0,148.0,146.0,213.0,78.0,137.0,1.0,78.0,1.0,213.0,148.0,137.0,271.0,271.0,1.0,137.0,217.0,1.0,217.0,213.0,217.0,137.0,238.0,137.0,217.0,146.0,146.0,213.0,238.0,174.0,137.0,271.0,174.0,146.0,213.0,174.0,137.0,238.0,146.0,238.0,148.0,1.0,148.0,1.0,271.0,78.0,148.0,137.0,146.0,78.0,217.0,217.0,217.0,1.0,213.0,78.0,271.0,238.0,78.0,238.0,137.0,137.0,78.0,213.0,271.0,137.0,1.0,238.0,146.0,213.0
1,78.0,0.0,1.0,1.0,136.0,78.0,113.0,168.0,278.0,164.0,231.0,168.0,154.0,136.0,1.0,231.0,254.0,136.0,136.0,254.0,164.0,164.0,164.0,1.0,136.0,168.0,168.0,78.0,254.0,136.0,168.0,154.0,113.0,168.0,1.0,136.0,78.0,1.0,78.0,168.0,154.0,136.0,278.0,278.0,78.0,136.0,231.0,78.0,231.0,168.0,231.0,136.0,254.0,136.0,231.0,113.0,113.0,168.0,254.0,164.0,136.0,278.0,164.0,113.0,168.0,164.0,136.0,254.0,113.0,254.0,154.0,78.0,154.0,78.0,278.0,1.0,154.0,136.0,113.0,1.0,231.0,231.0,231.0,78.0,168.0,1.0,278.0,254.0,1.0,254.0,136.0,136.0,1.0,168.0,278.0,136.0,78.0,254.0,113.0,168.0
2,78.0,1.0,0.0,1.0,136.0,78.0,113.0,168.0,278.0,164.0,231.0,168.0,154.0,136.0,1.0,231.0,254.0,136.0,136.0,254.0,164.0,164.0,164.0,1.0,136.0,168.0,168.0,78.0,254.0,136.0,168.0,154.0,113.0,168.0,1.0,136.0,78.0,1.0,78.0,168.0,154.0,136.0,278.0,278.0,78.0,136.0,231.0,78.0,231.0,168.0,231.0,136.0,254.0,136.0,231.0,113.0,113.0,168.0,254.0,164.0,136.0,278.0,164.0,113.0,168.0,164.0,136.0,254.0,113.0,254.0,154.0,78.0,154.0,78.0,278.0,1.0,154.0,136.0,113.0,1.0,231.0,231.0,231.0,78.0,168.0,1.0,278.0,254.0,1.0,254.0,136.0,136.0,1.0,168.0,278.0,136.0,78.0,254.0,113.0,168.0
3,78.0,1.0,1.0,0.0,136.0,78.0,113.0,168.0,278.0,164.0,231.0,168.0,154.0,136.0,1.0,231.0,254.0,136.0,136.0,254.0,164.0,164.0,164.0,1.0,136.0,168.0,168.0,78.0,254.0,136.0,168.0,154.0,113.0,168.0,1.0,136.0,78.0,1.0,78.0,168.0,154.0,136.0,278.0,278.0,78.0,136.0,231.0,78.0,231.0,168.0,231.0,136.0,254.0,136.0,231.0,113.0,113.0,168.0,254.0,164.0,136.0,278.0,164.0,113.0,168.0,164.0,136.0,254.0,113.0,254.0,154.0,78.0,154.0,78.0,278.0,1.0,154.0,136.0,113.0,1.0,231.0,231.0,231.0,78.0,168.0,1.0,278.0,254.0,1.0,254.0,136.0,136.0,1.0,168.0,278.0,136.0,78.0,254.0,113.0,168.0
4,137.0,136.0,136.0,136.0,0.0,137.0,132.0,228.0,355.0,129.0,293.0,228.0,248.0,1.0,136.0,293.0,325.0,1.0,1.0,325.0,129.0,129.0,129.0,136.0,1.0,228.0,228.0,137.0,325.0,1.0,228.0,248.0,132.0,228.0,136.0,1.0,137.0,136.0,137.0,228.0,248.0,1.0,355.0,355.0,137.0,1.0,293.0,137.0,293.0,228.0,293.0,1.0,325.0,1.0,293.0,132.0,132.0,228.0,325.0,129.0,1.0,355.0,129.0,132.0,228.0,129.0,1.0,325.0,132.0,325.0,248.0,137.0,248.0,137.0,355.0,136.0,248.0,1.0,132.0,136.0,293.0,293.0,293.0,137.0,228.0,136.0,355.0,325.0,136.0,325.0,1.0,1.0,136.0,228.0,355.0,1.0,137.0,325.0,132.0,228.0
5,1.0,78.0,78.0,78.0,137.0,0.0,146.0,213.0,271.0,174.0,217.0,213.0,148.0,137.0,78.0,217.0,238.0,137.0,137.0,238.0,174.0,174.0,174.0,78.0,137.0,213.0,213.0,1.0,238.0,137.0,213.0,148.0,146.0,213.0,78.0,137.0,1.0,78.0,1.0,213.0,148.0,137.0,271.0,271.0,1.0,137.0,217.0,1.0,217.0,213.0,217.0,137.0,238.0,137.0,217.0,146.0,146.0,213.0,238.0,174.0,137.0,271.0,174.0,146.0,213.0,174.0,137.0,238.0,146.0,238.0,148.0,1.0,148.0,1.0,271.0,78.0,148.0,137.0,146.0,78.0,217.0,217.0,217.0,1.0,213.0,78.0,271.0,238.0,78.0,238.0,137.0,137.0,78.0,213.0,271.0,137.0,1.0,238.0,146.0,213.0
6,146.0,113.0,113.0,113.0,132.0,146.0,0.0,126.0,346.0,139.0,304.0,126.0,242.0,132.0,113.0,304.0,340.0,132.0,132.0,340.0,139.0,139.0,139.0,113.0,132.0,126.0,126.0,146.0,340.0,132.0,126.0,242.0,1.0,126.0,113.0,132.0,146.0,113.0,146.0,126.0,242.0,132.0,346.0,346.0,146.0,132.0,304.0,146.0,304.0,126.0,304.0,132.0,340.0,132.0,304.0,1.0,1.0,126.0,340.0,139.0,132.0,346.0,139.0,1.0,126.0,139.0,132.0,340.0,1.0,340.0,242.0,146.0,242.0,146.0,346.0,113.0,242.0,132.0,1.0,113.0,304.0,304.0,304.0,146.0,126.0,113.0,346.0,340.0,113.0,340.0,132.0,132.0,113.0,126.0,346.0,132.0,146.0,340.0,1.0,126.0
7,213.0,168.0,168.0,168.0,228.0,213.0,126.0,0.0,371.0,216.0,352.0,1.0,279.0,228.0,168.0,352.0,376.0,228.0,228.0,376.0,216.0,216.0,216.0,168.0,228.0,1.0,1.0,213.0,376.0,228.0,1.0,279.0,126.0,1.0,168.0,228.0,213.0,168.0,213.0,1.0,279.0,228.0,371.0,371.0,213.0,228.0,352.0,213.0,352.0,1.0,352.0,228.0,376.0,228.0,352.0,126.0,126.0,1.0,376.0,216.0,228.0,371.0,216.0,126.0,1.0,216.0,228.0,376.0,126.0,376.0,279.0,213.0,279.0,213.0,371.0,168.0,279.0,228.0,126.0,168.0,352.0,352.0,352.0,213.0,1.0,168.0,371.0,376.0,168.0,376.0,228.0,228.0,168.0,1.0,371.0,228.0,213.0,376.0,126.0,1.0
8,271.0,278.0,278.0,278.0,355.0,271.0,346.0,371.0,0.0,390.0,306.0,371.0,208.0,355.0,278.0,306.0,240.0,355.0,355.0,240.0,390.0,390.0,390.0,278.0,355.0,371.0,371.0,271.0,240.0,355.0,371.0,208.0,346.0,371.0,278.0,355.0,271.0,278.0,271.0,371.0,208.0,355.0,1.0,1.0,271.0,355.0,306.0,271.0,306.0,371.0,306.0,355.0,240.0,355.0,306.0,346.0,346.0,371.0,240.0,390.0,355.0,1.0,390.0,346.0,371.0,390.0,355.0,240.0,346.0,240.0,208.0,271.0,208.0,271.0,1.0,278.0,208.0,355.0,346.0,278.0,306.0,306.0,306.0,271.0,371.0,278.0,1.0,240.0,278.0,240.0,355.0,355.0,278.0,371.0,1.0,355.0,271.0,240.0,346.0,371.0
9,174.0,164.0,164.0,164.0,129.0,174.0,139.0,216.0,390.0,0.0,329.0,216.0,284.0,129.0,164.0,329.0,361.0,129.0,129.0,361.0,1.0,1.0,1.0,164.0,129.0,216.0,216.0,174.0,361.0,129.0,216.0,284.0,139.0,216.0,164.0,129.0,174.0,164.0,174.0,216.0,284.0,129.0,390.0,390.0,174.0,129.0,329.0,174.0,329.0,216.0,329.0,129.0,361.0,129.0,329.0,139.0,139.0,216.0,361.0,1.0,129.0,390.0,1.0,139.0,216.0,1.0,129.0,361.0,139.0,361.0,284.0,174.0,284.0,174.0,390.0,164.0,284.0,129.0,139.0,164.0,329.0,329.0,329.0,174.0,216.0,164.0,390.0,361.0,164.0,361.0,129.0,129.0,164.0,216.0,390.0,129.0,174.0,361.0,139.0,216.0
